t,DIR,BAT,EX1,EX2
15.67030644416809,"(270.0, 2515.3281173706055)","(556.0, 2515.3281173706055)","(713.0, 2515.329115152359)","(758.0, 2515.329115152359)"
15.697304248809814,"(341.0, 2515.3541185855865)","(631.0, 2515.3541185855865)","(808.0, 2515.3571207523346)","(790.0, 2515.3571207523346)"
15.720883846282959,"(296.0, 2515.3806986808777)","(571.0, 2515.3806986808777)","(731.0, 2515.3806986808777)","(781.0, 2515.3806986808777)"
15.75488567352295,"(334.0, 2515.413719177246)","(625.0, 2515.413719177246)","(785.0, 2515.413719177246)","(775.0, 2515.413719177246)"
15.782867670059204,"(294.0, 2515.4407167434692)","(578.0, 2515.4417164325714)","(729.0, 2515.442718029022)","(772.0, 2515.442718029022)"
15.826430559158325,"(274.0, 2515.4852392673492)","(545.0, 2515.4852392673492)","(687.0, 2515.4852392673492)","(745.0, 2515.4852392673492)"
15.870437860488892,"(290.0, 2515.5282402038574)","(570.0, 2515.5282402038574)","(716.0, 2515.5282402038574)","(765.0, 2515.5282402038574)"
15.896425247192383,"(371.0, 2515.5562596321106)","(667.0, 2515.5562596321106)","(759.0, 2515.5562596321106)","(846.0, 2515.5562596321106)"
15.942974090576172,"(346.0, 2515.6017878055573)","(633.0, 2515.6017878055573)","(795.0, 2515.602787256241)","(792.0, 2515.602787256241)"
15.983985662460327,"(314.0, 2515.6427869796753)","(594.0, 2515.6427869796753)","(743.0, 2515.6438043117523)","(806.0, 2515.6438043117523)"
16.027501106262207,"(346.0, 2515.6873342990875)","(631.0, 2515.6873342990875)","(751.0, 2515.6863327026367)","(816.0, 2515.6863327026367)"
16.070515871047974,"(312.0, 2515.730349302292)","(589.0, 2515.730349302292)","(746.0, 2515.730349302292)","(794.0, 2515.730349302292)"
16.096506595611572,"(355.0, 2515.756340742111)","(640.0, 2515.756340742111)","(713.0, 2515.756340742111)","(767.0, 2515.756340742111)"
16.14403533935547,"(367.0, 2515.803867816925)","(667.0, 2515.803867816925)","(751.0, 2515.803867816925)","(820.0, 2515.803867816925)"
16.20163130760193,"(355.0, 2515.860895872116)","(639.0, 2515.860895872116)","(813.0, 2515.860895872116)","(799.0, 2515.860895872116)"
16.238614797592163,"(368.0, 2515.897443294525)","(650.0, 2515.897443294525)","(731.0, 2515.897443294525)","(792.0, 2515.897443294525)"
16.287657737731934,"(325.0, 2515.9464564323425)","(616.0, 2515.947461605072)","(765.0, 2515.947461605072)","(828.0, 2515.947461605072)"
16.314223766326904,"(310.0, 2515.9740386009216)","(607.0, 2515.9740386009216)","(776.0, 2515.9740386009216)","(752.0, 2515.9740386009216)"
16.34522247314453,"(357.0, 2516.00403881073)","(655.0, 2516.00403881073)","(758.0, 2516.00403881073)","(840.0, 2516.00403881073)"
16.377222537994385,"(286.0, 2516.0340423583984)","(574.0, 2516.0340423583984)","(739.0, 2516.037056684494)","(785.0, 2516.037056684494)"
16.419798612594604,"(290.0, 2516.0796275138855)","(568.0, 2516.0796275138855)","(698.0, 2516.0786304473877)","(741.0, 2516.0786304473877)"
16.45679473876953,"(356.0, 2516.1156466007233)","(646.0, 2516.1166427135468)","(742.0, 2516.1166427135468)","(820.0, 2516.1166427135468)"
16.482792377471924,"(315.0, 2516.1406230926514)","(601.0, 2516.1406230926514)","(751.0, 2516.1416425704956)","(822.0, 2516.1416425704956)"
16.505949020385742,"(316.0, 2516.165782213211)","(607.0, 2516.165782213211)","(775.0, 2516.165782213211)","(771.0, 2516.165782213211)"
16.535933017730713,"(321.0, 2516.194786310196)","(598.0, 2516.194786310196)","(766.0, 2516.194786310196)","(834.0, 2516.1957728862762)"
16.564950704574585,"(333.0, 2516.2247819900513)","(623.0, 2516.2247819900513)","(801.0, 2516.2247819900513)","(767.0, 2516.2247819900513)"
16.61101531982422,"(285.0, 2516.270847797394)","(568.0, 2516.270847797394)","(713.0, 2516.270847797394)","(764.0, 2516.270847797394)"
16.66101574897766,"(307.0, 2516.3178474903107)","(589.0, 2516.3178474903107)","(754.0, 2516.31982922554)","(814.0, 2516.31982922554)"
16.68804407119751,"(376.0, 2516.3458313941956)","(660.0, 2516.3468544483185)","(749.0, 2516.347849369049)","(823.0, 2516.347849369049)"
16.735078811645508,"(360.0, 2516.391898393631)","(640.0, 2516.391898393631)","(718.0, 2516.391898393631)","(791.0, 2516.3929538726807)"
16.77408242225647,"(342.0, 2516.430917263031)","(639.0, 2516.430917263031)","(818.0, 2516.4329273700714)","(793.0, 2516.4329273700714)"
16.801120042800903,"(289.0, 2516.4579236507416)","(566.0, 2516.4579236507416)","(737.0, 2516.4609360694885)","(793.0, 2516.4609360694885)"
16.826675415039062,"(283.0, 2516.483505964279)","(564.0, 2516.483505964279)","(737.0, 2516.4609360694885)","(793.0, 2516.4609360694885)"
16.85867404937744,"(295.0, 2516.5165259838104)","(595.0, 2516.5165259838104)","(750.0, 2516.5175063610077)","(824.0, 2516.5175063610077)"
16.885689735412598,"(363.0, 2516.5455272197723)","(649.0, 2516.5455272197723)","(727.0, 2516.5455272197723)","(801.0, 2516.5455272197723)"
16.909825563430786,"(300.0, 2516.5686593055725)","(590.0, 2516.5686593055725)","(755.0, 2516.5696609020233)","(820.0, 2516.5696609020233)"
16.939809560775757,"(376.0, 2516.596645116806)","(658.0, 2516.596645116806)","(739.0, 2516.5976462364197)","(802.0, 2516.5976462364197)"
16.970825910568237,"(329.0, 2516.630660533905)","(607.0, 2516.630660533905)","(780.0, 2516.630660533905)","(762.0, 2516.630660533905)"
17.013338804244995,"(294.0, 2516.6721704006195)","(588.0, 2516.6731536388397)","(756.0, 2516.6721704006195)","(824.0, 2516.6721704006195)"
17.057337522506714,"(328.0, 2516.7161729335785)","(611.0, 2516.7161729335785)","(778.0, 2516.7161729335785)","(759.0, 2516.7161729335785)"
17.08433747291565,"(344.0, 2516.7431745529175)","(618.0, 2516.7431745529175)","(775.0, 2516.7441732883453)","(767.0, 2516.7441732883453)"
17.111424446105957,"(327.0, 2516.768238067627)","(623.0, 2516.768238067627)","(801.0, 2516.768238067627)","(780.0, 2516.768238067627)"
17.1424241065979,"(377.0, 2516.8022418022156)","(660.0, 2516.8022418022156)","(746.0, 2516.8022418022156)","(807.0, 2516.8022418022156)"
17.17142367362976,"(294.0, 2516.83123922348)","(592.0, 2516.83123922348)","(745.0, 2516.83123922348)","(802.0, 2516.83123922348)"
17.196426153182983,"(338.0, 2516.8562610149384)","(624.0, 2516.8562610149384)","(786.0, 2516.8562610149384)","(766.0, 2516.8572425842285)"
17.245004177093506,"(341.0, 2516.9038367271423)","(629.0, 2516.9038367271423)","(798.0, 2516.9038367271423)","(791.0, 2516.904816389084)"
17.284019708633423,"(345.0, 2516.9428164958954)","(623.0, 2516.9428164958954)","(795.0, 2516.9428164958954)","(778.0, 2516.9428164958954)"
17.325544595718384,"(314.0, 2516.9843504428864)","(585.0, 2516.9853513240814)","(731.0, 2516.9853513240814)","(781.0, 2516.9853513240814)"
17.37053656578064,"(295.0, 2517.029372692108)","(589.0, 2517.029372692108)","(758.0, 2517.029372692108)","(826.0, 2517.029372692108)"
17.395538091659546,"(280.0, 2517.0553719997406)","(556.0, 2517.0553719997406)","(714.0, 2517.0553719997406)","(767.0, 2517.0553719997406)"
